foto 1 ge3dpoint error - 4.320951e-001,  -9.159149e-002, -1.863741e-001
foto 2 ge3dpoint error - -6.295322e-001,  7.281659e-002, -2.757094e-002

    34571.46703 :    106969.22306 :    -11025.48181
    34571.07601 :    106968.91844 :    -11028.47365
    34571.13609 :    106967.78681 :    -11028.98936
    34571.52714 :    106968.09093 :    -11025.99794
    34571.91846 :    106968.39519 :    -11023.00464
    34571.85830 :    106969.52781 :    -11022.48809
    34571.79831 :    106970.66066 :    -11021.97156
    34571.40707 :    106970.35540 :    -11024.96569
    34571.01609 :    106970.05029 :    -11027.95795
    34571.46703 :    106969.22306 :    -11025.48181
    34569.76093 :    106969.66208 :    -11021.88118
    34569.67039 :    106968.85929 :    -11021.34056
    34571.37659 :    106968.42082 :    -11024.94167
    34573.08108 :    106967.98284 :    -11028.53918
    34573.17142 :    106968.78452 :    -11029.07884
    34573.26158 :    106969.58608 :    -11029.61831
    34571.55729 :    106970.02518 :    -11026.02176
    34569.85128 :    106970.46475 :    -11022.42161
